runid,n,p,model.trt,model.rsp,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
31742,1000,10,step,step,27,292,4.838544937,5.171521007,5.209806779,5.172642344,5.049426953,4.997192225,5.048849016,5.06015665,4.94513523,4.836012713,6.484492303,6.432469918,4.814035651,5.133179206,5.211085377,4.931291424,5.071104024
40352,1000,10,step,step,20,244,3.318264185,4.145006861,4.407488424,4.286320553,4.445358087,3.364610971,4.445655718,3.76281155,3.764536194,4.335294202,2.176892579,2.197047523,4.284751058,4.306831466,4.459377708,3.37508841,3.421064188
55778,1000,10,step,step,26,274,2.728666125,2.917280308,2.437345322,2.638925275,2.302020114,2.676351047,2.054018442,2.566330377,2.464598542,3.119867998,1.612999392,1.82532501,3.138600165,2.336744893,2.390398386,2.695177872,2.736451726
13073,1000,10,step,step,16,237,4.633075994,6.614720345,4.818349183,5.167536505,4.76232551,4.654170687,4.734233979,4.816698215,4.955316534,4.968418152,4.257496959,4.298050773,4.995403534,4.862124923,4.830478003,4.598418751,4.68230882
28841,1000,10,step,step,19,287,4.105675004,4.662623561,4.569963787,4.576041886,4.568667256,4.353815325,4.539615422,4.487818774,4.338589354,4.530014469,3.234099437,3.264369633,4.542585681,4.613049834,4.558822095,4.248547288,4.479322823
24188,1000,10,step,step,14,223,2.738229832,2.52320797,2.81109359,2.635078495,2.829413286,2.922790906,2.80279105,2.911248805,3.046880471,3.093451668,4.800367536,4.880478716,2.89773052,2.826713999,2.931071767,2.928653122,2.882681864
4497,1000,10,step,step,16,272,1.304848186,-0.195776165,1.058365417,0.753375671,1.109851242,1.249927019,1.096954767,1.121545881,0.809457609,0.96457698,1.137201289,1.148655607,0.933156583,1.090894245,1.055789121,1.266448468,1.214304964
55809,1000,10,step,step,16,248,4.854658974,5.072214406,5.295806442,5.339421126,5.415311406,5.000633067,5.244885776,5.149183905,4.598416359,5.716600455,6.288000565,6.277469342,5.836511172,5.371817531,5.308179272,4.902346854,5.012170262
2368,1000,10,step,step,13,232,3.318197087,5.426594586,5.612402407,5.454087054,5.64067349,3.221198242,5.563608287,4.376660557,5.520103605,5.837569714,4.791154484,4.772616007,5.805567761,5.575128752,5.651012711,3.181347052,3.516461659
57089,1000,10,step,step,15,222,5.101078895,5.79068549,5.288294787,5.650920618,5.268023529,5.098791052,5.254800318,5.096958311,5.336084189,5.023098899,5.13503122,5.17406505,5.076433523,5.238114705,5.216394049,5.058853949,5.145199679
52794,1000,10,step,step,10,280,3.628654141,6.713969321,4.231795608,4.584073056,3.969734634,3.554861044,4.011453661,3.831226468,4.332304935,4.091036557,4.224341725,4.202699202,3.812241199,4.479123992,4.333015707,3.560496532,3.655803502
589,1000,10,step,step,13,285,3.897727749,5.317455954,4.052922657,4.368646332,3.929635134,3.770711556,3.922576562,3.763348204,4.101918632,3.924775579,4.154660317,4.190820882,3.673406091,4.08043788,4.054655369,3.752863384,3.804253357
86938,1000,10,step,step,13,268,4.386972683,5.415581246,5.115136437,5.306799761,4.56374112,4.275503197,4.574450352,4.534854124,5.13865066,4.466422605,4.188902378,4.217682931,3.757979262,5.125198018,5.108759905,4.264045157,4.52295735
27457,1000,10,step,step,18,229,4.086878371,4.497495147,4.333260119,4.569667004,4.209134589,4.141811304,4.134417187,4.299065537,4.120350525,4.591351468,5.398324133,5.359020359,4.374829268,4.260117241,4.306646069,4.111516605,4.176248179
38130,1000,10,step,step,22,279,4.565594723,3.725823017,3.648316237,3.697562742,3.842290595,4.4605356,3.796713783,4.151876847,3.951395866,4.590829191,4.71122221,4.904949678,4.653419273,3.686753629,3.614972514,4.488631647,4.394058328
51868,1000,10,step,step,13,270,1.140421581,0.775850226,1.160096479,0.990595202,1.330663925,1.187658457,1.233017774,1.039780353,0.658584665,1.334148612,1.309328234,1.376133223,1.431247212,1.051656391,1.17256683,1.162604582,1.239484723
64114,1000,10,step,step,12,199,4.819566813,3.005659652,2.664183674,2.831032828,3.790370015,4.752518956,4.038976265,4.427622678,4.041122695,2.916518066,4.172941289,4.109071447,3.317579269,2.91989213,2.709609167,4.750804549,4.702334281
3352,1000,10,step,step,23,238,2.489321285,2.338265385,2.573448936,2.469491473,2.553639778,2.492346006,2.457718269,2.423527825,2.467640081,2.619948257,4.041189973,3.787121323,2.871310249,2.496944261,2.599644694,2.493031179,2.470400046
66936,1000,10,step,step,9,263,3.924814669,3.670994392,3.732806837,3.664196065,3.750312252,3.925184915,3.782546433,3.841434132,3.657422198,3.62830163,3.210534205,3.211675311,3.761980159,3.8234073,3.738230914,3.915803018,3.943713678
85469,1000,10,step,step,20,242,3.919890858,3.294948199,3.251160528,3.365422632,3.212045781,3.875395664,3.214208893,3.589816583,3.923961073,3.515901498,5.441614001,5.408968145,3.784988223,3.074257142,3.221255238,3.87381998,3.855192046
20905,1000,10,step,step,21,250,3.604692704,3.699770293,3.590556459,3.638373942,3.461121571,3.466081665,3.467498554,3.490897239,3.785384264,3.717454802,3.87739835,3.900142223,3.552272161,3.563251862,3.628413534,3.521736573,3.529122895
72469,1000,10,step,step,33,309,4.145181032,3.508494422,4.137458576,3.805870805,4.015595306,4.041489539,4.006257738,3.993983168,3.853152768,3.677608037,1.944856989,1.964102059,3.779573817,4.123101017,4.206418791,4.039317828,4.060283937
20408,1000,10,step,step,11,305,4.100228871,4.997122749,5.143959119,5.143579234,4.770033883,4.233235967,4.984215234,4.702376557,4.836954112,4.924421001,4.108041467,4.133054498,4.870669952,5.21145419,5.124526806,4.313047712,4.2511057
5240,1000,10,step,step,22,224,3.928605645,4.960439554,4.131422547,4.56118829,4.013361906,3.979135237,4.048123661,4.087009888,4.140397493,4.355707932,4.051497332,3.999321253,4.428175738,4.105536851,4.099041283,4.01753879,4.066386923
89071,1000,10,step,step,29,299,3.231190178,2.140962574,3.129342434,2.778758749,3.312964151,3.278372927,3.348323671,3.194142784,3.054915927,3.049446358,3.125888205,3.182000566,3.119213534,3.144535038,3.169556695,3.284757819,3.205141671
73978,1000,10,step,step,23,271,2.310607098,4.40086807,3.023174827,3.402771713,3.058537755,2.301802449,2.941774755,2.594436477,3.346934593,4.080601839,4.525137717,4.429900147,3.931721948,2.969378817,2.993712753,2.275206713,2.412149166
23366,1000,10,step,step,13,235,4.805084653,6.02726691,5.857084072,5.951461452,5.605357689,4.878138801,5.663307321,5.55524824,5.750963733,6.081509772,6.063788059,6.211509758,5.749145452,5.790559081,5.857054336,4.842694337,5.092130807
54946,1000,10,step,step,21,283,3.049485056,3.736606048,3.27332008,3.335974559,3.14985233,2.935403887,3.239444452,3.082400259,3.447371175,3.43884054,3.580103892,3.598394009,3.252176019,3.238250274,3.269243217,2.925725235,3.12199481
76529,1000,10,step,step,13,241,3.982663766,4.784319942,4.349100368,4.502793065,4.148593073,3.988654156,4.38510263,4.212001408,4.64552582,4.224839596,5.087398171,5.118927473,4.04220714,4.370715692,4.385223523,4.006907379,4.036707617
79278,1000,10,step,step,13,271,2.674003032,4.638133815,3.402768524,3.857919746,3.129135557,2.702194755,3.177481528,2.895376884,3.29486525,3.166642807,3.107064888,3.171163633,2.817881681,3.395371654,3.36837014,2.687361391,2.760918783
83766,1000,10,step,step,23,248,4.573329492,5.713723278,4.971495888,5.260144558,4.761178426,4.497569231,4.871016699,4.71640385,5.102056319,5.140843201,4.905158215,4.950312345,4.919871227,4.936178195,4.917771084,4.474597469,4.494039705
44857,1000,10,step,step,19,277,3.161822138,2.697756969,3.100699171,2.798580326,3.019380508,3.125843525,3.197119411,3.234091324,3.102244887,3.03275945,3.356360428,3.395898053,3.218672546,3.087357063,3.106899024,3.133700932,3.075127775
33158,1000,10,step,step,12,240,4.613099863,4.39912489,4.422886617,4.385865754,4.745954089,4.695092872,4.746587983,4.603474841,4.676361037,4.720203703,4.783174005,5.118735079,4.647711152,4.362723763,4.378453552,4.755788066,4.715655313
95771,1000,10,step,step,22,270,4.880747225,5.10339333,4.950095401,4.867502164,5.016391563,4.994724465,5.21246715,4.946402678,5.066428684,5.192066814,6.451614217,6.309029292,5.410076138,4.844479933,4.90359284,4.982281405,4.909212574
48199,1000,10,step,step,21,276,3.956893627,4.427342985,4.26591186,4.414275959,4.229619824,4.084100138,4.444189397,4.365845699,4.015251363,4.540358924,4.512282472,4.572753279,4.819491775,4.229864575,4.262294645,4.084953215,4.032696002
98026,1000,10,step,step,13,268,5.410609937,7.571525918,6.095195282,6.352101571,5.980539157,5.49374214,6.051489457,5.705221276,6.173112469,6.187900374,5.946711533,6.105090287,5.891620808,6.081159475,6.124504634,5.495857306,5.555414642
7722,1000,10,step,step,26,281,4.341582615,6.472123724,6.051414122,6.314347221,5.770024721,4.489343474,5.429233276,5.496356382,5.494260493,6.373444205,4.798720945,4.824519811,6.555940154,5.968407749,5.992582416,4.545651008,5.083031166
95753,1000,10,step,step,16,241,4.039805852,4.103191181,4.359887083,4.16879785,4.282246386,4.162349993,4.351153982,4.25534087,4.380038659,4.57182529,5.872685706,5.922374516,4.575010282,4.380101265,4.352574355,4.196192454,4.245540307
76836,1000,10,step,step,19,264,3.74129065,4.478827881,3.529154854,3.880091387,3.552171687,3.808871989,3.532435488,3.724030529,3.245826966,3.803198175,3.872202133,3.776200649,3.839390273,3.469490602,3.484472775,3.84620964,3.837348898
35147,1000,10,step,step,22,264,1.962257042,1.653219886,1.622967629,1.556140833,1.674384013,1.921152192,1.675366271,1.749923997,1.759690467,1.539370526,1.729030549,1.67103783,1.710101225,1.615295873,1.658338053,1.931451344,1.919936237
33156,1000,10,step,step,10,197,1.908600345,3.130362968,3.052001341,3.078924593,3.012106701,1.949068597,3.074808178,2.676307562,2.603174379,3.176746987,3.850815846,3.759460077,2.761860959,3.029895389,3.052564605,2.002596036,2.165609614
77732,1000,10,step,step,20,251,3.725148447,4.020098038,3.718057435,3.991611539,3.70281919,3.76308809,3.673343779,3.713647943,3.74114498,3.895506887,3.323895763,3.296687086,3.753470531,3.754741184,3.673686941,3.691914946,3.723106477
15005,1000,10,step,step,17,242,3.508108644,6.216594029,5.253670747,5.622679117,5.037477457,3.568010969,4.445620211,3.967651923,4.612972325,6.080263143,6.025909574,6.258735739,6.011466712,5.116506754,5.363268779,3.548835319,3.715518085
663,1000,10,step,step,34,294,3.530026905,4.342676128,3.970216037,4.092094877,4.027670064,3.606672724,3.958644714,3.753572474,3.899930283,4.371384288,3.735773915,3.647017526,3.940914137,3.977567499,3.941882378,3.654627847,3.606361952
94861,1000,10,step,step,11,287,5.065980206,3.932913852,4.459191822,4.304240403,4.465230517,5.063706294,4.54546456,4.662870494,4.705722399,3.858995389,5.335677831,5.476517161,3.911369757,4.604246514,4.537710316,5.087783673,5.02683615
28943,1000,10,step,step,19,266,2.254413262,2.184024721,2.069109911,2.140844562,1.878069624,2.24262557,2.016015838,2.198920378,2.261089981,1.426726668,2.927560521,2.913422977,1.400743864,1.998898009,1.995019843,2.340519891,2.26123338
7330,1000,10,step,step,27,268,3.922707214,4.764201022,4.405604905,4.64038555,4.19921091,4.015124537,4.287554521,4.18038818,4.529971271,4.056660227,4.192140598,4.379204691,4.001183551,4.461226754,4.370271091,4.05427731,4.075806173
28859,1000,10,step,step,22,293,5.807054423,6.414036791,5.779685255,6.192398586,6.103959095,5.641694234,6.091712785,5.750331149,6.290934376,6.880983397,4.635920142,4.563413065,6.89932564,5.729709329,5.709035398,5.695070556,5.646531986
64161,1000,10,step,step,13,227,2.858399124,3.857055968,4.010217917,3.931808927,3.581473747,3.100423194,3.710582579,3.728922799,4.025455768,3.972184533,3.360107917,3.513834191,3.754847526,3.974148319,4.015416879,3.167998554,3.240623468
70359,1000,10,step,step,18,286,3.390190628,1.812949137,2.085893582,1.950781245,2.26665429,3.216990914,2.277641525,2.783314554,2.368829423,2.762012764,3.529640144,3.534764531,2.930416498,2.104342416,2.096769153,3.211151162,3.117979785
85908,1000,10,step,step,23,284,3.607097774,2.530008795,3.290601276,2.837261677,3.418161327,3.571465866,3.450303858,3.42067594,3.484631165,2.49629595,2.498855416,2.305977904,2.749294503,3.376132728,3.304325119,3.580626094,3.595978056
24874,1000,10,step,step,19,270,2.104448668,2.549839085,2.399692488,2.543955661,2.155813877,2.070701391,2.230380593,2.274166437,2.195405043,2.023321511,1.476324619,1.540557653,2.006011931,2.475053886,2.355510441,2.202894556,2.181132681
