runid,n,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
14,1000,4,31,0,-25.138594998558347,-7.5196718227196016,-8.862150497190953,-10.894129517406524,-0.9351941092405258,-6.969594458074454,-5.7747753372291015,3.8424209321436535,-20.000439882331023,-7.830882564380261,-12.778211446227914,-6.991359484156419,-6.431640382216612,-8.080209108585256,-0.7509005426728521,-3.2715732524971624
16,1000,3,45,0,-23.230877149353745,-9.081785661410038,-11.53521542733759,-13.520192389857028,-0.8574592550319892,-10.653459693020778,-8.094362287288561,-2.2926439890975416,-20.288018244004917,-7.192796365399943,-12.972173018771002,-8.804423887165115,-8.0915111018572,-10.67577695153255,-0.949945015157327,-3.8134230657253028
15,1000,9,49,0,-20.28948709969768,-8.475759722766128,-8.256812185930386,-10.328947913524033,-1.9800464480036466,-7.978003014842841,-6.602247579782528,-1.917206611460756,-14.009772361715193,-3.4254294427136927,-5.294338706161824,-5.390386120449534,-6.633024058582142,-5.427888700718263,-1.1149552623712575,-3.322342924429098
18,1000,6,42,0,-17.457758353359054,-5.385760226402738,-5.585624189267264,-6.6142524812911025,-0.1947437571334218,-3.473870541253831,-3.781617424615092,2.6987958980721487,-12.21277205073386,-2.3104087479880775,-6.052182666688651,-4.101233579647101,-3.849938160227797,-5.551403771470259,0.16085254793247927,-1.2698787621223695
17,1000,8,43,0,-21.685385094854382,-5.719134919175076,-8.781391384441037,-8.839798553062721,-0.7708705225324154,-5.448128680298709,-5.856227352573427,2.3608913145524753,-15.174026500901789,-4.376024747444234,-8.110336308494254,-5.9843602169756025,-4.541700931226817,-6.444710483961419,-0.404465534572997,-1.6412709814424498
19,1000,3,39,0,-17.509437822862623,-6.0520510854083795,-7.0889583756174375,-8.094361770289382,-0.37306329445326775,-6.251939715267042,-4.213726742941532,-0.6964261627094288,-12.470466813782366,-4.0104698996988475,-5.586390406401193,-5.896611222041997,-4.5781022764830785,-5.663240249440448,-0.26735013454359025,-1.657716491397356
21,1000,4,46,0,-14.661894219268731,-6.151982876978735,-7.604597306774792,-7.697957928955929,-0.889997232433339,-5.740997266088982,-3.7648864136891405,2.313671696910859,-13.584636503110659,-3.4520898180211077,-7.261597502657793,-5.1830467824509014,-4.042228819629773,-2.1995635224901293,-0.5441560081227323,0.9411692546178855
20,1000,4,57,0,-19.692256276112033,-8.256499294598854,-10.199710480824166,-10.512995926151357,-0.9323431726809116,-11.093909851122078,-6.637431940841765,-2.1272805326941864,-14.665093788550365,-4.302132027673821,-5.78600741061706,-6.334419902061228,-7.1279698085314065,-8.582012153128494,-0.5944501674615362,-3.548625145710252
24,1000,5,41,0,-16.661972037840115,-4.747438257687492,-4.764399239280323,-6.951845278187678,-0.5461067068480377,-3.534058055087229,-4.156081222042957,2.767657885668342,-13.50843761277315,-2.0896289888613637,-6.473668672092202,-4.335032959784627,-3.861834914369137,-5.371101039203163,-1.0252989886112172,-0.9482777300872478
23,1000,8,45,0,-22.292681482900065,-5.406288053704628,-8.66358818670048,-7.487590700529629,-0.6096801198605273,-5.919312588198238,-1.6716164272320952,1.3954694363852411,-13.241394226377025,-3.1144205450939353,-4.031746313556397,-5.076270391837085,-5.077681437750384,-1.802191543817825,-0.3858629281037839,-1.1981924135619184
