runid,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,cem_avg,onenn,tmle1,aipw1
16,5,0,0,0.6455377811769889,-0.21229837790077788,-1.0384455911086974,-0.5953338084087322,-0.8051309502800504,-0.21677737985292822,-0.7822625552687992,1.7557507915426669,-0.42932577155573837,3.255548154138183,-0.6014933290504703,0.3749764926346816
17,2,0,0,1.014233499994016,1.17717662753288,0.42383555778264626,0.8651736005416597,-0.8196233874639339,0.4719470646651285,-0.8590427968926617,0.9815202290338014,-0.4348069287879266,2.1872764637696305,1.3115728744551682,1.2184015816804754
18,3,0,0,1.8898692865701499,1.1549579608616831,-0.8913908392256111,-0.8728939628330489,-0.8730359434229288,-0.9878459138025786,-0.9231699339528827,-0.4867248345867612,0.043193029549885686,0.8178732011056677,0.7752241516770834,1.5851102287098562
19,1,0,0,2.2070148140519192,1.9677964393776266,0.23974534515055534,0.5229443943783331,-0.42668221400620854,0.9854838483310919,-0.48590385385039525,2.1849474574203853,2.301471589572922,3.427223119147728,1.9345905810091268,2.485844544513313
20,4,0,0,-1.3399538327633467,-1.1622187736023175,-0.8185982229116169,-0.4051630970561987,-3.9666665118252693,-0.8503167215660632,-4.637378358158497,1.2369816893588244,0.9799685087254866,1.529016929825159,-2.034727159963432,-1.370668184116653
21,2,0,0,1.48824275090481,0.9832962832900618,0.27014399803391864,0.5687579452974525,0.0014477268882727562,1.6471037137741753,0.5851842426439591,0.8081017047081627,1.3227080303553294,1.2780088399603713,0.8744414832284977,1.1577823651794539
22,3,0,0,1.6792719800404887,-0.6365031874899145,-0.8204641974688318,-0.8941126142174236,-3.108200695764474,-1.7816956628704297,-1.9099636796821091,0.8004105401080146,3.180856018470373,2.632722887432152,0.5088197770110653,1.2083557657891857
23,5,0,0,1.1842885603892412,0.8418916171456274,-0.3429874521532845,-0.026899311755267358,-1.300221041222693,0.47258109146781546,-1.6891656348238513,1.0876903321814098,-0.32429571865076756,2.1090699111897937,0.44820894905314146,0.8960965565763382
24,3,0,0,-4.2527017879514855,-1.6148435086207034,-0.32836773739003533,0.7969325886694644,-3.211057474426833,-0.4350742255722606,-3.67713240780044,-1.466053301536518,0.6918087119082226,-0.0625131010918274,-2.017298515681644,-1.7677697314872338
25,3,0,0,0.4518374340344762,-0.7674682701483766,-1.2161048837169863,-1.1633797450982781,-1.0510536567902995,-0.7239348210174494,-1.2169282102065004,-0.007513502367140212,0.31063329845329646,1.8493085086436993,-1.2381801373976644,-0.3212636431344506
26,4,0,0,-1.502888503060265,-1.9870798286575102,-0.7608929833686267,-0.7347101728821401,-1.2181295684847269,-0.5170172193064335,-1.4140910973237713,0.4108599435046081,-0.041925387972422845,0.4292971416367495,-2.620856211698924,-1.9623135975499229
27,6,0,0,1.6239214466329743,0.46408166142064555,-0.5752715222963474,-0.5075426591582496,0.10374072233033636,-0.13225957180941883,0.2647495751530178,0.9457838213721628,0.5872778625518245,1.0921919053418083,0.4901341637852953,0.90137417706332
28,1,0,0,0.7429193005518941,0.5822849919381099,-0.12864394808595314,0.19366293120201802,-1.5290618933277509,-0.0842125841013388,-1.4526373516140474,0.5837261922696717,0.07192522639909615,0.8057132406681813,0.46089879984354415,0.9844248953347889
29,2,0,0,-0.8524320371195522,-1.0596887904799157,-1.2816568638220556,-0.4806385580739182,-0.6944903389614925,-2.0152786178200133,-1.2163407868982539,1.9131219489974285,-0.16092467435623692,2.197300168318556,-1.062702346259641,-1.4190082246775255
30,2,0,0,0.6034829646463011,0.12316536059609628,-0.7929621751019038,-0.7398693322107591,-0.6832411048594782,-0.5647736820224951,0.24635039441090623,0.6790522583347185,0.36020182276261936,1.1127579977195499,0.909867390110526,0.31759524840035497
31,0,0,0,-3.012903658148822,-0.005606407568622629,-0.6351180240711667,0.9592156010341164,-5.174967747753949,-0.03145904463426241,-5.358280193625637,-0.47292661600473807,0.060480269099500106,0.4822309462234582,-0.36689010439675823,0.7150852683961411
32,7,0,0,0.4681241401104206,-0.4154771267297894,-0.4016875058495568,-0.14454304697080067,-0.8201429943195688,-1.2103021987167821,-1.0822794109008447,0.04740912263504793,0.7063427587329258,0.7754450611052643,-0.3267787315295449,-0.16050069991676122
33,2,0,0,0.8416863483648536,-1.3738256025351303,-0.4317993485879512,-0.42152425735092963,-1.5321242756613704,-0.31851203449959176,-1.8650779848992647,1.7933069740877334,1.226378957132374,3.3583245219936986,-2.0342465881092604,0.09981090905447018
34,7,0,0,3.513603666994494,2.5567719657123105,0.059034979539831056,-0.06158653507100323,0.5875953691039351,0.17582890077735236,0.3208772150772443,1.8140983462934397,0.29185188421078223,2.978473210513414,2.7782280896417753,3.3340458673180504
35,1,0,0,-2.705417440418805,0.03190093220025236,0.523995005904629,2.45696775149807,-3.7735712202638605,0.2641698607608731,-6.066057837777021,-0.7811077177804489,1.2566237463734673,1.0058331001283074,-0.4475367373720323,-0.792692457302039
36,3,0,0,-0.5599661074326896,-0.4687861532868878,0.2199418856381854,0.3755882876292371,-3.056869941140066,0.5943025105210298,-3.2474947944434795,0.6498818686232593,0.27540934927549987,1.0347188012459574,-1.072216805310447,-0.4707083645673588
37,2,0,0,0.9834023043221372,0.7675849978831515,-0.19724508440537658,0.24322026178189643,-0.6302589372868387,0.06868534140690308,-1.0917757957793253,1.5168870482238574,0.144397456002892,2.1726681630310605,0.539050193602928,0.9329861182999997
38,4,0,0,-1.6736609732145427,-1.5242629210252696,-0.3005455841137312,-0.027168578821724607,-1.9457124105345858,-0.21213066851430185,-1.8899583598863705,-0.6990528353341263,-0.4604399229466072,0.4857732135511732,-1.6108912969889528,-1.484621436663235
39,5,0,0,-1.509353900676448,-0.6765266708453277,-0.15704715964897797,0.19538569689277316,-2.293623883306274,-0.3191695252180926,-2.299503677164113,0.5197027962430276,0.7748502583498666,1.3902240866405657,-0.9962188215237279,-1.100604188752933
40,1,0,0,-1.7236619649882705,-1.1821248388848753,-0.4590809643847873,0.41085169162038365,-2.5405564900507818,-0.2528471944273418,-4.511420321468612,-1.378895727489625,0.3398166075639306,0.31794630935260315,-2.940895925638469,-1.537381482338442
