runid,n,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
1,1000,3,44,0,-24.067540101131982,-6.352215525715167,-7.3468906217405845,-9.97351504093701,-3.0200645640248225,-4.474577550482451,-6.619869672316696,-0.8460496072979709,-17.815454264022065,-5.211376595217359,-10.617371695549764,-7.0955242921247645,-5.54462502076683,-7.767423825175738,-1.6482742751794037,-3.4354197681840453
13,1000,6,42,0,-18.88652952339916,-7.550061295821848,-9.045989696028329,-9.675846180986122,-1.5407671493030917,-7.722627507017904,-6.6923425383723725,-0.2809733798814875,-15.935111325514129,-5.15651813235516,-10.224372873123599,-8.037955317131406,-6.500720576445936,-2.6752464191165553,-0.9472149127065004,-1.450073124808355
12,1000,1,50,0,-17.215425761848167,-7.084090664191393,-9.017297561375074,-10.153054536793277,-0.30439294440881337,-6.407576207255914,-5.596749910981515,1.4101059440623942,-15.165223335245798,-4.707535191300735,-8.056857811231794,-6.750404484738652,-5.378095518847455,-6.131193947598469,-0.35835116958172863,-2.6604839122281327
17,1000,2,22,0,-22.606011006980765,-7.49915655607623,-8.34730141788583,-13.210096692923436,-2.3692679974475785,-4.660437005557924,-6.426022513144574,2.136903168594273,-23.79808138233048,-5.0864108614943575,-15.515931381109084,-6.976708339561952,-6.523300005252223,-8.960944077966694,-1.3053810624321789,-2.6948256271331563
14,1000,3,43,0,-17.751445959661964,-5.503732391691329,-6.914453421408211,-6.245090998731008,-1.2939842675701514,-5.03249172111947,-2.619756959061135,2.3739580134822234,-11.717871670660628,-2.981819732077554,-4.752883679173664,-4.533162450208209,-3.9343608507281056,-5.521732412646331,-0.9848370818476638,-2.818223087209783
15,1000,2,29,0,-21.286645842126887,-7.267780871912294,-8.645860499101872,-8.88696850644611,-1.2609793968824439,-6.925688055293563,-6.755130258610848,-0.063750615840803,-15.453586628382936,-6.4129394392657275,-9.510001383971314,-7.000854957957955,-6.922971990875058,-7.901196634421275,-0.7404959809715537,-2.7136806722012836
20,1000,2,34,0,-21.76749840629114,-8.502803946603052,-10.531233519599454,-10.971866210573905,-2.0249214698152023,-5.543632514768774,-8.016156861779109,-0.5348873393608642,-17.10674257933303,-6.121146021431855,-9.81928927594771,-5.85288490308568,-7.1718151362418245,-9.445499633766376,-1.5220976633771621,-3.843587378207038
18,1000,2,39,0,-18.698013597650572,-6.3242201426922975,-8.59592737701658,-9.449146355116877,-0.29423052396451693,-4.872202108754095,-4.852138920966723,0.5310538226683832,-16.6923743154978,-3.7789050496549805,-11.479512484838864,-5.780427261987597,-5.5167561243015895,-7.059098686923671,-0.61655555125847,-1.1023316684395232
22,1000,3,49,0,-17.94710295762019,-6.38019326735207,-8.675878547729553,-8.127129826902717,-1.7072806943634662,-7.415314704869928,-5.449270277005468,2.17686072233721,-12.635035689282944,-2.176240950825502,-2.5637842919755087,-5.079133227333614,-4.7232696607393425,1.3483476543489037,-0.8542062464519267,-2.149803745733371
21,1000,3,42,0,-19.50754570976116,-7.813944964796804,-7.9644889315851515,-11.08818006686604,-0.9812107118062794,-4.481615000988853,-4.5293580316353825,-1.194886112569577,-17.29960550794604,-5.495214844708158,-8.103346695809932,-7.658291789976886,-6.609928830664129,-10.203434846064193,-1.2067852416246942,-3.3121497444821504
