runid,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,tmle2,aipw1,aipw2
10,4,28,0,-2.1204139734360954,-0.16028186838572633,-0.6185767006010945,1.5419907561881037,0.03173372341637998,-0.61161026331703106,-0.9137071029803181,0.8996376992835273,0.7498899184606076,-0.6754276986494712,-0.5923583743672025,1.7276910128772327,-0.5172237403546222,0.009902867184630524,-0.6474639144996316,-0.22045475829056613
11,3,26,0,0.06279903592432756,0.3660244729252158,-0.18035455682714474,0.11874470685567551,0.33378830613866606,-0.0365971925983386,-0.22321880839510655,0.44715555468935353,1.2202141382286733,-1.039195559368268,-0.9385568201828303,1.3716290415790793,0.4515086068513896,0.09641224526132794,0.3852067150534649,0.03845060555992412
12,1,30,0,-1.1566574321679797,-0.2537693028673882,-0.9533984129141704,-0.46505641719803287,-0.21277963536803746,-1.3521917420622893,-0.436329522893554,0.4201721496074393,1.1110618033178312,0.3528992836515239,0.22747460723509372,0.7095800879306653,-0.039085958798088946,-0.05293955992555742,-0.3897138511255247,0.059479024150024935
13,3,35,0,0.6590910650526407,-2.671111535957305,-1.0476907648606852,-0.5349566604430547,-0.023546338721057696,-0.5759038715772036,-2.7433882943731165,1.013680272913179,1.808994661165019,0.2822470952955034,0.5120236563973788,2.471837274659155,-3.5678756749560327,-1.733702467209856,-1.4039978826094055,-0.48938349807211384
14,1,22,0,0.2781992703732845,0.2584434260346633,-0.7237236900794288,-0.18066088544603817,0.5377521874425016,0.967743873745941,-1.2928528271783515,0.6624360573451895,1.9427792820586358,-1.51026813701933,-1.0941395141861694,1.6863622016041449,-0.1621645317204441,-0.07834065538098417,0.8608811586079167,-0.00574931218446152
15,5,39,0,0.14537015507571382,0.26386624183114016,-0.0696617567394533,0.33604144130761826,-0.7158076332549146,0.14303912086073556,-1.4808250944748833,0.8607038841591335,1.5913521291684694,0.645476157413678,0.30878198606731955,1.8676444291844425,0.167429751821281,-0.3769250070358835,0.4697087148411316,-1.1299825027869344
16,2,26,0,1.9409434977668587,-0.29314682964708183,-0.7991818883775821,-0.6696248085572307,0.8517521441694422,-1.5130736882046474,0.019966097020459372,1.9290250347055524,3.024916135985146,-1.7133275242767128,-1.9122799294460093,3.5330500929893986,-1.9968131990600706,-1.2490020006975575,0.08179244378675671,0.41436235643563324
1,4,33,0,-0.1001599985883379,-0.20767416306030917,-0.43192185230110347,-0.2088199191898764,-0.23251403336882773,-0.7278882068856243,-0.9499812829083307,0.36277193556703047,0.8937593477222334,0.46872543864407445,0.44473093951032006,0.6524673931643941,-0.19269143726643703,-0.3682198697040032,-0.20763717945249116,-0.8955862521984006
2,2,27,0,-1.1968581003834657,-0.8088093075106313,-0.6911370322347219,0.04039269831112504,0.12835187292420577,-0.2793279601144949,-0.7534829211034841,0.18381314564417828,0.9935126737559692,2.3970115072832554,2.370943289684893,0.680931336471021,-0.6874781225073029,0.15147547374237327,-0.8445833183936159,-0.7970178152103703
3,5,23,0,-0.6612044432731592,0.26193904185574546,-0.5521197018945232,-0.20870249639589555,0.17637162586969593,-0.7189815828598656,-0.5755813279647963,0.6227921953507032,0.9031492447401863,-0.5151927529379519,-0.49690253558113273,1.2516042656847457,0.34650703135493727,-0.07750980111145196,0.6060107356484714,-0.16779428924755285
4,6,38,0,-0.6663539550042348,0.35619584087199296,0.24236972205364093,0.40417395495330105,0.19557637204949502,0.3316872840991074,-0.06321073206139971,-0.08331617980562989,0.7531014462179533,0.24595047446109142,0.269253509975111,0.32808198429395485,0.19809086285546668,0.4093129492112556,0.15083435181960722,0.4542806947356981
5,2,29,0,-0.27976725300057126,-1.9956107541885224,-0.43124121805196314,-0.4022275084401206,-0.012901015758863025,-0.38766259143585646,-2.6571497825578065,0.9742263542970075,1.6050991924002114,1.1601587586346591,0.9503180257558368,2.1137887530211374,-2.633546052756477,-1.2572843953990185,-2.2482987491137436,-0.7260202985430462
6,4,31,0,1.4282587594495944,0.05608427395303739,-1.1287224163773786,-1.1715989539536191,0.22561263227487732,-3.1158398215078114,-0.21856894335493404,0.5624475573676415,1.0943497682641512,1.493978980241089,1.3953633574081565,0.9706217796753069,0.4221184879195971,0.4343335453159762,0.9604842722359151,1.0756330795085558
7,1,29,0,-1.4202183152028436,-0.6078983571422194,-0.34375358994300953,0.2222203100497342,-0.7891147474283573,-0.351970689552215,-1.1167254486493663,-0.7879423405600576,0.05293750989892043,-1.2915645495574708,-1.3228243060370364,1.1993818976480304,-1.0449877599388078,-0.6105649739051564,-0.4519735440907597,-0.6495893565726287
8,4,26,0,0.27919196364207277,-1.269008836972679,-1.1595222850529607,-0.999996954958735,-0.11196053643621467,0.3306780203356521,-1.3048712149281556,0.02809163867589426,1.3359421859658633,1.8875930555578635,1.749368910008318,1.2831892524981798,-1.5789972778769052,0.0028382196776989598,0.0012428239040025064,-0.3645348118066867
9,5,30,0,-0.47837964745967554,1.2494261167808522,-0.3857617539576701,-0.09048959078309374,0.001297845125844683,0.35480440922829626,0.032235884329486986,0.009251570379992913,0.6047377740570274,0.39977931652984955,0.3858552847534593,0.1792444222390701,0.9502191234639271,-0.09346489415628666,1.1335806403367479,0.006569564231774514
10,6,28,0,1.3457502833896298,0.5266095252566165,0.15140186911780695,0.25767883866987573,0.41287991054481193,0.6633440402282114,-0.10735784014376915,1.0946756622408964,2.077426149066981,1.4675935538124198,1.3725942501828685,2.1925373765793363,0.6784397343628277,0.27686442858812177,0.5166744083775705,-0.4155070374995742
11,4,27,0,-1.6371882541387865,-2.509393310964353,-0.6337833938830304,-0.5384519234646984,0.04737465022032668,-0.2204311260470515,-1.8860198118127531,-1.6398375027933536,-1.1533071398592991,-1.945991997057627,-2.217337987028829,0.6472195443351652,-2.781251680732042,0.13410790805585354,-2.5941069708112057,-0.8549868546397341
12,2,32,0,1.7382735990647555,1.7867931741977507,0.021362840201899047,1.4441152330300588,0.8477954156765032,2.8661766562966253,1.9512640042540799,0.992439059057947,1.858750366581706,2.493560895893383,2.503500351901729,1.6341344610280686,2.3167888102867167,0.24809698826298865,2.280754552541094,1.6523693549519707
13,2,25,0,-1.8296159923558726,-0.19938290719507723,-0.6661975138154776,-0.26830500124486395,-0.227387661951334,-0.2777380069741202,-0.8075007879186522,-0.6559719024710544,0.5013096908587071,-1.2038034367991637,-1.0641419000901573,0.1874760415656933,-0.3516545486681508,0.42925142003574784,-0.4949677237867745,-0.8662096814619816
14,4,33,0,0.44211413367493435,0.723132057668999,0.9682469750698255,1.439799716598284,0.7910457315062037,0.8459186960618421,0.024094084285895434,0.284273753067259,0.8922058550639926,-0.4844274305377718,-0.46281871482920467,0.5790007012429399,0.7082942185497807,0.2935604876726604,0.535808096779435,-0.10105410841982465
15,6,32,0,-1.4598636654546189,-0.30812481914009826,-0.4104002792812036,-0.07132571848232357,0.10954248244528395,-0.5201375418027219,-0.702530422234557,-0.10901494637936615,0.5654387112701693,-0.26487475395779114,-0.2571340119782235,0.12083299369826239,-0.01837364655988104,-0.3159351797525767,-0.5406334249833903,-0.7128230842984978
16,3,32,0,-0.8381767174075767,0.1598493377134398,-0.5138561078932078,-0.21121080668133396,0.5609804300224835,-1.273531440670176,-0.22904037952223355,0.7217417348435786,1.010085614760297,-0.9382672511675998,-1.3212527026661465,1.4222952338606545,-0.43891410682138404,0.5597702320434708,0.17044742049437525,0.1233650862379532
17,3,30,0,0.4586331012907445,1.3866028478593542,0.1992576987260497,0.27145665630788063,-0.06716017577717369,-0.5350395470767868,0.01340061124360048,0.48287704566422374,1.083763671854225,-0.3409108755220376,-0.4955964059890978,0.32398850238407384,1.493851488302996,-0.4473330264716072,1.3479730061296429,0.6911026533558915
18,3,33,0,0.4875913350934562,-0.5349730367875969,-0.024429844903997022,0.2521134785621223,-0.11298492119564973,0.23157163479265552,-1.438186162967198,0.3491643173026251,0.9999659022691736,0.24681760827439092,0.14135771246090467,1.3869781823129967,-0.8187208813804865,-0.15806091993844473,-0.25849582665945703,-0.6512129796082041
19,1,23,0,3.3287444079864548,1.1996233304011046,-0.2527927535303025,-0.12403317963505545,1.105710900082043,0.3730199116830928,0.6363918316233761,-0.2092507072609795,1.5721223753742972,0.4095341251461555,0.49171765022691893,0.83075452182457,0.4986790562028151,-0.8234245094186691,2.3806995949289425,1.0081340196340363
20,5,27,0,-2.1237487205453673,-1.4310311520524381,-0.13893098104591317,0.20250666889745156,-0.08421622275996271,-0.37384972375897796,-1.2855963779049393,-0.46663156125947847,0.15209281472837866,-0.10222894591838916,-0.11652262281377368,0.16761041951679712,-1.818433414010894,-0.3086514782850692,-1.5467045643710937,-0.5451859611640217
21,4,28,0,0.44835994350292996,-0.27049223430564684,-0.4092019457070659,-0.1626199557805388,0.4006224597512357,0.09225074183468962,0.03742120455046116,0.44235220720739665,1.1005347768572706,1.141898138937377,1.2336533338945403,1.3756456172063718,-0.3571216689999999,0.34930673236226684,-0.2510498484419647,-0.087279765574703
22,4,23,0,-2.4448270292460332,-1.3871228341263215,-0.6412623267675821,-0.2310943042886622,0.08094931273833988,-0.8620555587709156,-1.8488165938834387,-0.5247227540551993,0.06014533905998842,-0.5385507382824382,-0.5989250910756274,0.27852170258546405,-1.8154169229163608,-0.13773657761701283,-1.7601876478294398,-0.6176632750189859
23,7,29,0,2.0977644379370366,2.938118645412196,0.24635324014322801,0.7702747623127575,0.9125478723377776,-0.8904065710067997,0.6483222982014496,0.514928166793827,1.451277282388392,0.2377717340655936,0.07578144915953278,0.5075192102493613,3.384223404085926,0.8616083801355708,2.954518084692412,0.8450014618626522
24,3,26,0,-3.2286650060174393,-2.0344517535986104,-0.47955322302277503,-0.17827998843615978,0.14135120836788503,-0.334090667044066,-1.9209636711678826,-1.0964738383288006,-0.5769611381353723,-0.641441919155374,-0.6421273300846395,0.6067246050553519,-2.3803672977469152,-0.2765145980381215,-2.1030572192195107,-1.4929794201201285
25,1,26,0,-0.49083747618732687,-0.5192184207296631,-0.1836460567354541,0.04165908618774507,0.7122577760127556,-0.038362070867459686,-1.236307256344193,1.0590749260961907,1.487274609566449,-2.7714749374342036,-2.760497227454711,1.8255732050356546,-0.5245151314359119,0.024070458466495876,0.02741191797541385,-0.21783541743948615
26,4,33,0,0.1406003700665286,-0.27678665756720644,-0.43094605252900653,-0.22619253600784398,-0.4609457210347338,-0.41593717493893667,-1.1528678157127539,1.2202152039933374,2.2273679965224495,2.0006086765620505,1.9671319666369982,1.349514248226054,-0.5545835441659188,-0.43326063019261263,-0.157108957814968,-1.1250733633768581
