runid,nc,nt,f0_sd,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1
11,1000,100,0.05,0.19958086667866035,0.24779694527332027,0.3035975597356716,0.22445092866532768,0.15704269081829406,0.2160365327391787,0.259695506489576,0.22526705964165905,0.22812288776000939,0.21479945963561692,0.22617458515297365,0.23358532282077352,0.22592932616864003,0.3033405621643033,0.16644421878539015
12,1000,100,0.05,0.1983023888063148,0.24779694527332027,0.30632479060567336,0.22084042958330197,0.1572140115814161,0.2001651904233393,0.18339966693767795,0.20450905910247008,0.21512599355555373,0.20909464759343466,0.16892624528329114,0.1971885160405046,0.17812250660150053,0.30648194147257185,0.16662783548098714
13,1000,100,0.05,0.21070686996115676,0.24779694527332027,0.31163620000051373,0.228683059921634,0.14979077394680032,0.2222197393790502,0.2660772821004544,0.22367944989452176,0.242784847634836,0.21890702427146214,0.21210072276466296,0.2124449018476593,0.2023702067356996,0.3117838847742156,0.15478592395125548
14,1000,100,0.05,0.19207123237236923,0.24779694527332027,0.31110731596572905,0.2259291315667165,0.15874921213091933,0.21180986998541818,0.19916862488679066,0.22081305458396122,0.2248446337312342,0.21951079487431047,0.21976188262389326,0.22198848051336104,0.211170143525722,0.31102790626363613,0.16888268946278356
15,1000,100,0.05,0.19901646920354266,0.24779694527332027,0.3198995637972223,0.23033550111016038,0.16924998149180095,0.2104221646066347,0.24466965412832498,0.22647834841710623,0.22529988394987377,0.21987186913277573,0.21906225400205806,0.21480565079031969,0.2133244739757697,0.3200997560136087,0.17632470003284714
16,1000,100,0.05,0.20684033932909243,0.24779694527332027,0.316233880492633,0.23228478160381016,0.16612922207579342,0.22312901709676122,0.2751467119984796,0.22882976875605082,0.21893756451487373,0.22655033122474927,0.2092029299149553,0.21796906046477293,0.20941059268011458,0.3164962065990556,0.17405185984589863
17,1000,100,0.05,0.1978642509370594,0.24779694527332027,0.3083325004061085,0.22700812159533962,0.15961821688761402,0.21755298269047035,0.25213535742413584,0.225639081567918,0.2267455808087363,0.22254597786624186,0.21409659733942757,0.2184485020761602,0.21036071376779025,0.30834031751200963,0.1696987643251769
18,1000,100,0.05,0.19357906748291823,0.24779694527332027,0.3068559409162523,0.22045002311132522,0.15311672837810797,0.2112352606671848,0.23205621070947757,0.21491455462281778,0.21445704329770116,0.21140480789618799,0.21552958321299884,0.2106047387356394,0.21523260151692908,0.3069575828784317,0.15950900802049958
19,1000,100,0.05,0.2005551441028956,0.24779694527332027,0.30843632020190165,0.2214087386834132,0.14969341462625738,0.2035860896939597,0.1945788967702955,0.21482706389592765,0.2187881069319641,0.21482957573678724,0.19950039639112005,0.20683721909937958,0.19287543243616767,0.3088463356492241,0.15563181206268598
20,1000,100,0.05,0.1989934110182414,0.24779694527332027,0.3098896723328325,0.2157062984698503,0.14633414711389456,0.21287977928041238,0.2030011372782145,0.207308418051877,0.20568892513714865,0.20921357973542148,0.19039744396667543,0.19682310995924435,0.19472266970608543,0.30949679119298557,0.14979394074845306
