id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap,noise,bias,N_T,N_C,deg_overlap
17,toy,A-E,3.003846935064984,3.1324861983650116,3.132595973149343,2.953644453480729,3.311547492817957,1,0.0913017957492928,1,linear,1.0360000000000582,0.03499999999985448,0.07932524334580963,0.12863926330002862,100,99.99999999999997,low
18,toy,A-E,3.0544768617523186,3.039484965469038,3.0394506322362247,2.792850853399177,3.2860504110732722,1,0.12581621369237123,1,linear,1.0209999999997308,0.03300000000035652,-0.0671920583752893,-0.014991896283280681,100,100,low
19,toy,A-E,2.990671116755879,3.0142639504577486,3.0138197239235613,2.796375481197407,3.2312639666497156,1,0.11094094016640521,1,linear,1.0190000000002328,0.03099999999994907,-0.018502190530711615,0.023592833701870042,100,100,low
20,toy,A-E,2.95194296648555,3.029678980401081,3.029742734856546,2.80005717336656,3.259428296346532,1,0.11718651096427862,1,linear,1.0410000000001673,0.04899999999997817,0.03409415717332097,0.07773601391553076,100,100,low
21,toy,A-E,3.0538093937705084,3.115685457181116,3.115828219245191,2.858497499786058,3.3731589387043237,1,0.13129118339751664,1,linear,1.03899999999976,0.033999999999650754,0.019666221222180466,0.06187606341060814,100,99.99999999999997,low
22,toy,A-E,3.0951151939641175,2.7958283665675117,2.7958245584980568,2.5927371344197763,2.9989119825763373,0,0.10361603269300035,1,linear,1.0070000000005166,0.032000000000152795,-0.3401367531154263,-0.29928682739660406,100,100,low
23,toy,A-E,3.030809639359136,3.3407330620512097,3.3403522194299673,3.0052860305894034,3.6754184082705312,1,0.17095213716355306,1,linear,1.0009999999992942,0.030000000000654836,0.20971061602315952,0.2860892348440425,99,99,low
24,toy,A-E,3.0405253653352653,3.0263582079541758,3.025559805566784,2.774394633125591,3.2767249780079766,1,0.1281454961434657,1,linear,1.0060000000003129,0.032000000000152795,-0.06863444580514873,-0.01416715738108909,100,100,low
25,toy,A-E,3.000441319110262,3.064660146638799,3.0624413675328896,2.738703589298674,3.3861791457671053,1,0.16517233583378357,1,linear,1.0139999999992142,0.04100000000016735,8.653635084368456e-4,0.06421882752853758,100,99.99999999999999,low
26,toy,A-E,3.0486520356152877,3.102955435204059,3.1030737010614367,2.8749762475998306,3.3311711545230427,1,0.11637625176612564,1,linear,1.0450000000000728,0.033999999999650754,-0.0036116286292508792,0.05430339958877095,100,100,low
27,toy,A-E,2.9603150808440573,3.0932284151112306,3.0931780948135787,2.856434271199208,3.3299219184279494,1,0.1207876651093728,1,linear,1.0320000000001528,0.03400000000056025,0.06957644308124272,0.13291333426717422,100,99.99999999999999,low
28,toy,A-E,3.006440722125808,3.0257382505186703,3.0257423949953313,2.802793629826582,3.2486911601640807,1,0.11374936998405591,1,linear,1.0630000000001019,0.033999999999650754,-0.0334430693782381,0.01929752839286092,100,100.00000000000004,low
29,toy,A-E,2.9691788487761546,3.050659236294017,3.050462847427893,2.7756165903759333,3.325309104479853,1,0.1402276821693673,1,linear,1.037000000000262,0.033999999999650754,0.029633247757369793,0.08148038751786224,100,100,low
30,toy,A-E,2.9983299110709996,2.9364330569525503,2.9365179098674266,2.677989636367226,3.195046183367627,1,0.13190218035724502,1,linear,0.9859999999998763,0.25500000000010914,-0.055220736836697516,-0.00821786317923312,98,98,low
31,toy,A-E,3.0287792234934074,3.2276443114641955,3.2275823897699283,2.9483238472863613,3.5068409322534952,1,0.14247884820590145,1,linear,0.9950000000008004,0.03299999999944703,0.15109928731256528,0.1988650879707876,100,100,low
32,toy,A-E,2.9929780216544075,2.870821591199479,2.870862687210558,2.647469188801037,3.094256185620079,1,0.11397627469873527,1,linear,0.9740000000001601,0.03899999999975989,-0.16885240922300396,-0.12215643045492897,100,100,low
33,toy,A-E,3.0046099406518554,3.1272951247384526,3.126817559648191,2.9163570282545526,3.337278091041829,1,0.10737782213961146,1,linear,0.9840000000003783,0.03099999999994907,0.07351778819699614,0.12268518408659723,100,100,low
34,toy,A-E,3.0103702883228887,2.9623399316706926,2.963401500222452,2.6922263599469973,3.234576640497907,1,0.13835466340584435,1,linear,0.9899999999997817,0.032000000000152795,-0.10586987127103896,-0.04803035665219646,100,99.99999999999999,low
