runid,nc,nt,f0_sd,num_bins,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle3,aipw3
7,500,100,0.5,6,0,9,2.88766462069658,3.9161204524264024,3.9144873052678477,3.1689957992741284,2.5833250956751184,3.0568892649894606,3.3479960739880976,3.0974227027813255,3.062330387193162,3.0151219638560125,3.0467998090196104,3.049816922647162,2.8664165624206213,3.9406215620409033,3.9206045620515653,3.381702070748952,3.181873917718718
5,500,100,0.5,6,0,6,2.9860014645857333,4.130788129245088,4.13011479587329,3.3667794874242247,2.9037139030152526,3.1417750178707,2.950122914791214,3.2643152939160958,3.2476914947783113,3.191135387160772,3.074024076405287,3.0977830763550678,3.096517280928585,4.145362883378356,4.1259634803456064,3.3598134163081874,3.2860010987941486
1,500,100,0.5,6,0,0,2.974207434405838,4.046798478679229,4.046441488962449,3.3390671845061366,2.8255413767628497,3.197763125610155,3.521924761246704,3.3223575615184133,3.254038669779847,3.2133734467133923,3.178968424421136,3.180740424969252,3.2265641179215345,4.042353231837208,4.045465237341665,3.4694949933034334,3.4056775314226466
11,500,100,0.5,6,0,0,2.8344468198838864,3.9909138775464856,3.991767344494724,3.324134624275918,2.832795518371456,3.146216616713117,3.3310646895164266,3.2388414611706713,3.1702130072545485,3.14414068940465,3.0155210182105048,3.0274287677243334,3.109109390557956,4.019602944353925,3.9898211103418775,3.40483368475253,3.3559935304413426
6,500,100,0.5,6,0,7,2.983944190343482,4.087927962949717,4.089423360232118,3.1220884974475522,2.5501439911146573,3.1013509800295016,2.9950389425443067,3.116131811979522,2.937747893878459,2.9996377418620037,3.1789602316757435,3.1909426631117466,2.974110477869349,4.132283519804089,4.087318429896303,3.1950177708099172,3.158635743812918
9,500,100,0.5,6,0,0,3.0273700026390484,4.043732060161894,4.045543212749443,3.209008519563012,2.730179556820347,2.9904608107926993,3.23085531575631,3.091169669961957,2.990983411153379,2.982270128462998,2.863541103425918,2.908283790365256,2.9527673926950024,4.075172561738105,4.040464848350519,3.2834841572313223,3.1783345689489706
10,500,100,0.5,6,0,0,3.148126210001162,4.202576070439693,4.207268186177521,3.3691676917244218,2.796138409351542,3.3326838513903385,3.3391000736511343,3.3498071326976167,3.2985153256204747,3.2649811281705245,3.3504890343135107,3.278743505044451,3.2210221969237836,4.170105395625716,4.2018474749570665,3.253119079394115,3.5521900356749465
8,500,100,0.5,6,0,11,2.903146135076568,4.0516471068987645,4.053196066119628,3.3177917524887715,2.700567208071995,3.3128590468530668,3.457705598493111,3.33166301182382,3.1151683555555163,3.245111739762457,3.3208481008266464,3.3819406766279663,3.214242250127426,4.043188868765998,4.053727064918765,3.584583082397366,3.4245025178672233
2,500,100,0.5,6,0,0,3.0081223778357136,4.094718795146964,4.095287406888876,3.316414299131158,2.8136339348177852,3.0883360603724426,3.5255049617281697,3.139803538661017,3.110598464058536,3.078504850958934,2.8917006455356704,2.890099199479838,2.8692455985869803,4.121815361173503,4.095584889157446,3.0739138176770293,3.1976084478060813
12,500,100,0.5,6,0,11,2.996755391142697,4.148689469803877,4.148847254584101,3.4350717132289077,2.9319535537673267,3.369318009623616,3.5666978023511255,3.4433465821771945,3.3522492745856747,3.301605970673669,3.356208622138362,3.350458985339917,3.300154480739934,4.089003413730456,4.146775295829902,3.6621831360020582,3.425302681445257
14,500,100,0.5,6,0,12,2.8818905030831172,3.9204181946173224,3.9224523622097585,3.0530659193570884,2.514925261992529,2.966207658223605,2.849248104317873,3.019859716138251,2.941395535211914,2.9186578703367374,3.0568293216969256,3.130884331512764,2.848827243082013,3.950246225409344,3.922298471913198,3.0138605535419245,3.071054935372806
17,500,100,0.5,6,0,3,3.019769537197,3.9821385733037116,3.983021897968229,3.158686880739218,2.6063321368746384,3.012633716709861,3.012100103349563,3.127770711200692,2.9631435863394353,2.999996801229557,2.8223661407159124,2.8944093986051005,2.781465288924121,4.014250533844875,3.9787187080826047,2.1343206148532188,3.112667182806051
22,500,100,0.5,6,0,35,2.949667846876802,3.9815924734087993,3.978613871308512,3.2752238473310307,2.696062015633893,3.18277498488117,3.3865769556495575,3.26284737995333,3.1067773435761934,3.1229905161342915,2.598624528201624,2.6086181741381456,3.0724406939459854,4.010705772365912,3.983241762507732,2.6774532841278265,3.2184813101979217
15,500,100,0.5,6,0,3,3.045410822561569,4.130229209743961,4.13070316375258,3.300517689969613,2.7513096410677784,3.1818092970542646,3.0814208062894943,3.3045222873446827,3.2355938280009715,3.1753751471581566,3.0080346629158745,3.044965833154782,3.1198240439219367,4.127089842403144,4.131665271100929,3.4422932061577525,3.39152156597429
16,500,100,0.5,6,0,4,3.1045919727477593,4.0794418657560225,4.0786208085766855,3.281856034059219,2.7455823427196626,3.3238819465855287,3.116449743909021,3.3141996873619632,3.3080438772244767,3.149975607645133,3.317829671971219,3.0873574785212563,3.3040033911605313,4.064792175473355,4.071650946538966,3.4913010109370384,3.5678925732982165
20,500,100,0.5,6,0,4,3.037158571574102,4.07569409884079,4.070640415006862,3.230314210250871,2.7094755723120256,3.0677230492658496,3.3475807862630873,3.114181220057728,3.037964817131998,3.0523897246141996,2.904211503005481,2.8474381374858213,2.9203991971526184,4.092604371233666,4.0753239242056045,3.013327225717769,3.2086195072815835
21,500,100,0.5,6,0,0,2.8142068231358093,3.904492860197982,3.9110206834480734,3.1877537108571374,2.7590024468269236,2.998838857165797,3.2186132940765306,3.089310029778445,3.0087721985934364,2.996204002134939,3.0193025467851555,2.939956908383251,2.9894086436528218,3.9511753125360776,3.906346820649829,3.2506807618840186,3.2545697582971806
19,500,100,0.5,6,0,0,2.871770400000885,3.9722134676699574,3.9691792954333396,3.20523556539633,2.695830559438113,3.102675622390173,2.991015472666578,3.169282227722256,3.0753666132745012,3.0707873836450483,2.896117672983933,2.954764716626987,2.9314420344805727,3.9777564541086203,3.9662838996534204,3.2030884779411406,3.282452773589825
18,500,100,0.5,6,0,1,3.14494048709817,4.163044163602576,4.163079701253143,3.3168987338621507,2.8243625125512803,2.987741324693249,3.2576174477096087,3.1013576932909492,3.0189360526335847,3.0017117827916975,2.8280983821262033,2.917907423941627,2.7968890218778757,4.1576272569808745,4.163154181095155,2.716476195807003,3.087754544534578
