id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,,
82,Kang,Bayesian,0,-0.827257174,0.006921966,-1.178773644,1.243819258,1,,1,,,
83,Kang,Bayesian,0,0.745794419,1.197107313,0.011499558,2.298149378,0,,1,,,
84,Kang,Bayesian,0,0.035597512,0.729075119,-0.484487752,1.899744025,1,,1,,,
85,Kang,Bayesian,0,-2.465666695,-1.2740522,-2.630300972,0.056379422,1,,1,,,
86,Kang,Bayesian,0,-1.02867721,-0.040445755,-1.247723368,1.114725083,1,,1,,,
87,Kang,Bayesian,0,2.060524613,2.556679149,1.171068784,3.834002761,0,,1,,,
88,Kang,Bayesian,0,0.665190666,1.460802869,0.235106635,2.776511359,0,,1,,,
89,Kang,Bayesian,0,-1.115210778,-0.980192629,-2.176967099,0.251592736,1,,1,,,
90,Kang,Bayesian,0,2.537841956,2.954790245,1.7271715,3.865226224,0,,1,,,
91,Kang,Bayesian,0,-1.609987372,-0.687281743,-2.008688817,1.026036442,1,,1,,,
92,Kang,Bayesian,0,-0.896421755,-0.058908873,-1.066501043,0.945318081,1,,1,,,
93,Kang,Bayesian,0,3.543327834,4.38832248,3.369218118,5.75574869,0,,1,,,
94,Kang,Bayesian,0,-1.517049842,-0.654473591,-1.489080225,0.292346346,1,,1,,,
95,Kang,Bayesian,0,-0.055604127,0.240128681,-0.933769398,1.328816141,1,,1,,,
96,Kang,Bayesian,0,1.51940442,2.558863818,1.222231707,3.965935728,0,,1,,,
97,Kang,Bayesian,0,-2.002730225,-0.538413191,-1.765345838,0.555530533,1,,1,,,
98,Kang,Bayesian,0,-0.222801547,1.191474346,0.115365395,2.313023046,0,,1,,,
99,Kang,Bayesian,0,-1.822031291,-0.528795426,-1.718295374,0.825298495,1,,1,,,
100,Kang,Bayesian,0,0.715095029,0.824465599,-0.317678479,2.189979369,1,,1,,,
1,kang,Bayesian_mu_correct,0,-0.195139397,0.215646701,0.107810174,0.33395501,0,0.057911476,1,kang_correct,,
2,kang,Bayesian_mu_correct,0,0.286641532,0.030741618,-0.077172494,0.114545328,1,0.052179481,1,kang_correct,,
3,kang,Bayesian_mu_correct,0,-1.531105731,0.004798374,-0.090593287,0.106319517,1,0.050908203,1,kang_correct,,
4,kang,Bayesian_mu_correct,0,-1.456284984,0.166239669,0.051483532,0.267896275,0,0.056494251,1,kang_correct,,
5,kang,Bayesian_mu_correct,0,-1.651708263,-0.058301614,-0.152687028,0.046170558,1,0.05306812,1,kang_correct,,
6,kang,Bayesian_mu_correct,0,4.388447939,-0.003147343,-0.101449724,0.087048756,1,0.048486811,1,kang_correct,,
