id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap,N_T,N_C
42,toy,A-E,3.008777915,3.287771276,3.288115743,3.16985603,3.406375456,0,0.060336588,1,linear,1.286,0.042,,
43,toy,A-E,3.02879557,2.995813515,2.995984444,2.860633652,3.131335236,1,0.069056527,1,linear,1.264,0.051,,
44,toy,A-E,3.023934802,3.258647061,3.258624123,3.128512286,3.388735959,0,0.06638359,1,linear,1.306,0.044,,
45,toy,A-E,3.022760671,3.110166659,3.110114414,2.969281818,3.25094701,1,0.071853366,1,linear,1.289,0.043,,
46,toy,A-E,2.951125063,3.069161689,3.069072142,2.938425927,3.199718356,1,0.066656232,1,linear,1.278,0.059,,
47,toy,A-E,3.037382676,3.325105579,3.324894402,3.191983953,3.457804851,0,0.067811454,1,linear,1.267,0.042,,
48,toy,A-E,2.974601672,2.933529636,2.932951941,2.786954416,3.078949465,1,0.074488533,1,linear,1.241,0.038,,
49,toy,A-E,2.946034857,3.203535659,3.203482936,3.067494858,3.339471014,0,0.069381672,1,linear,1.273,0.042,,
50,toy,A-E,2.884118818,3.181145574,3.181148502,3.049664554,3.31263245,0,0.067083647,1,linear,1.253,0.05,,
51,toy,A-E,3.084861649,3.21999053,3.220176167,3.094053194,3.34629914,0,0.064348456,1,linear,1.273,0.04,,
52,toy,A-E,2.881627996,3.091589132,3.092466807,2.945027741,3.239905873,0,0.075224013,1,linear,1.264,0.039,,
53,toy,A-E,3.035667463,3.249820665,3.249961286,3.111349232,3.38857334,0,0.070720436,1,linear,1.531,0.083,,
54,toy,A-E,3.143673807,2.953102192,2.953223982,2.815972735,3.090475229,0,0.070026146,1,linear,1.517,0.041,,
55,toy,A-E,2.901633409,2.912630342,2.912583642,2.778809111,3.046358173,1,0.068252312,1,linear,1.318,0.042,,
56,toy,A-E,2.899242905,3.06101576,3.061178232,2.919416683,3.202939781,0,0.072327321,1,linear,1.326,0.055,,
57,toy,A-E,2.863024769,3.130141043,3.130476359,2.987108626,3.273844093,0,0.073146803,1,linear,1.264,0.041,,
58,toy,A-E,3.097818464,3.092475128,3.093235588,2.965266354,3.221204823,1,0.065290426,1,linear,1.556,0.04,,
59,toy,A-E,2.986250295,2.983557279,2.983883249,2.840528421,3.127238076,1,0.073140218,1,linear,1.275,0.042,,
60,toy,A-E,2.962585058,3.033915311,3.034066672,2.904178282,3.163955061,1,0.066269586,1,linear,1.328,0.048,,
61,toy,A-E,3.000388822,3.24308121,3.243772264,3.10506902,3.382475508,0,0.070766961,1,linear,1.316,0.045,,
62,toy,A-E,2.915099373,3.02997264,3.029621318,2.90409513,3.155147506,1,0.064043974,1,linear,1.306,0.044,,
63,toy,A-E,2.92541324,3.212494942,3.21216506,3.064021757,3.360308363,0,0.075583318,1,linear,1.311,0.041,,
64,toy,A-E,2.946995016,3.054898056,3.05487563,2.923302868,3.186448393,1,0.06712896,1,linear,1.263,0.053,,
65,toy,A-E,3.014116371,3.31796291,3.317962222,3.201404592,3.434519852,0,0.059468179,1,linear,1.274,0.043,,
66,toy,A-E,2.959553633,3.182545037,3.182546312,3.046376333,3.318716292,0,0.069474479,1,linear,1.261,0.042,,
67,toy,A-E,2.961939531,3.113949696,3.113801433,2.97697368,3.250629187,0,0.069810078,1,linear,1.269,0.041,,
68,toy,A-E,3.034649302,3.350390369,3.350619601,3.235760891,3.465478311,0,0.058601382,1,linear,1.295,0.038,,
69,toy,A-E,2.90724431,3.176209031,3.176234223,3.036470913,3.315997533,0,0.071307811,1,linear,1.286,0.041,,
70,toy,A-E,3.004477874,3.115630873,3.115461011,2.975265461,3.255656561,1,0.071528342,1,linear,1.267,0.04,,
71,toy,A-E,2.991306673,3.229364853,3.22950664,3.099001315,3.360011965,0,0.066584349,1,linear,1.317,0.051,,
72,toy,A-E,3.0024073,3.344339455,3.344064309,3.212924385,3.475204232,0,0.066908124,1,linear,1.256,0.042,,
73,toy,A-E,2.891508439,3.063831874,3.064377301,2.939569573,3.189185029,0,0.063677412,1,linear,1.279,0.038,,
74,toy,A-E,3.152026252,3.181978134,3.181766858,3.040813329,3.322720388,1,0.071915066,1,linear,1.256,0.04,,
75,toy,A-E,3.018611653,3.198012344,3.198486277,3.069353003,3.327619551,0,0.065884323,1,linear,1.305,0.048,,
76,toy,A-E,2.999216442,3.205257053,3.204389984,3.069643606,3.339136363,0,0.068748152,1,linear,1.275,0.042,,
77,toy,A-E,2.968713223,3.015750326,3.015732259,2.884154651,3.147309868,1,0.067131433,1,linear,1.281,0.044,,
78,toy,A-E,3.022422531,3.177181402,3.177176192,3.025338734,3.329013649,0,0.07746809,1,linear,1.314,0.042,,
79,toy,A-E,2.767930399,3.077845993,3.07781578,2.942698031,3.212933528,0,0.068937627,1,linear,1.261,0.052,,
80,toy,A-E,3.07192783,3.144530661,3.144581283,3.013474875,3.27568769,1,0.066891024,1,linear,1.263,0.061,,
81,toy,A-E,3.034823641,3.19397898,3.193718927,3.05186264,3.335575214,0,0.072375657,1,linear,1.265,0.042,,
82,toy,A-E,2.933874162,3.091440033,3.091477213,2.960933215,3.222021211,0,0.066604081,1,linear,1.263,0.041,,
83,toy,A-E,2.951480383,3.189227974,3.18916838,3.037627173,3.340709587,0,0.077316942,1,linear,1.294,0.038,,
