runid,nc,nt,f0_sd,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1
21,1000,200,0.2,0.18661688484517255,0.3962416242172374,0.39623451135832133,0.23566798339037287,0.13700350898008476,0.18444571585128064,0.2187957835444735,0.18808865016499776,0.14733093063227254,0.1753136004565452,0.12641915310676644,0.1718740815127853,0.15334450767802887,0.21310590455799006,0.22424444744484193
22,1000,200,0.2,0.21101263506798024,0.43165532067437284,0.4310614566552997,0.242717999469925,0.1370234025669004,0.18166683873449796,0.20004448563313582,0.1691089709590048,0.1868485776840334,0.17373018780623806,0.16438903626425683,0.17473965206741626,0.1372971282221651,0.2211007571335819,0.19051843726975656
23,1000,200,0.2,0.20017601887609,0.39972497221119363,0.3997249722108658,0.2558379835929333,0.17053844872799365,0.20214109236732317,0.24818132246692182,0.19649040337647017,0.18824238020970252,0.19905335537790236,0.17371504098547025,0.1793951547912706,0.17194639721728566,0.24098127335682618,0.28081669694721256
24,1000,200,0.2,0.22446960174548036,0.4232187939515195,0.42302821858063433,0.2975900402327656,0.21162104069276444,0.2683614174179806,0.27587446001553073,0.27396383598146323,0.28989961722222435,0.26121596579828477,0.27253882227630405,0.2615249895576859,0.24939844866272065,0.2805833875749731,0.2799414780246249
25,1000,200,0.2,0.17923173497449574,0.4171421407641962,0.41728897295548806,0.2734318174022178,0.18385444919802135,0.23278588330686215,0.2648482301219617,0.21697771250736198,0.20320400166444785,0.21440181034300754,0.1752728417647278,0.20025819113834561,0.18770331786211303,0.25556488454179394,0.24709896510008755
26,1000,200,0.2,0.20723932942413206,0.4213296612277808,0.42071791831980876,0.2782591600627832,0.1778924164868702,0.2406522046678549,0.2521014197839413,0.23768153371254797,0.2376085880821318,0.24178587619277014,0.24515828431673847,0.22814673824915077,0.2354581187686775,0.25428561200110417,0.21215986891925204
27,1000,200,0.2,0.18337490332826353,0.3847060499252004,0.3846188067806825,0.22687043204599766,0.13993712030462532,0.14702333241848298,0.1871561014381392,0.13747350447937756,0.13648362371220712,0.14403022473419314,0.12166703511539789,0.10001832808402367,0.110268663395237,0.20917714022388847,0.18196466842000897
28,1000,200,0.2,0.19927452972283854,0.40491501581003864,0.4056882659396436,0.2579980805497645,0.16707278174220025,0.2264874135631561,0.2148043254526827,0.22160501819467915,0.2323906092215442,0.22726819614859906,0.20956846733287968,0.182393715262949,0.2113344621612282,0.23914801123936008,0.21473858136358143
29,1000,200,0.2,0.20641154561751318,0.40572924615357375,0.40620718611358886,0.2746655837547727,0.16119111021226878,0.25640396012083744,0.4560324979516188,0.2430866110275952,0.3060244192267447,0.23551758322154714,0.23806904525554407,0.23834909186634856,0.22480248756580323,0.2687318510369589,0.2889348564033112
30,1000,200,0.2,0.18242290201386838,0.4155076170499329,0.4156221465005371,0.2650472439586502,0.1591487917659648,0.23010585522685678,0.34146561312835233,0.23472713919635957,0.20903696221844237,0.22088556209126764,0.21178365155922202,0.21400784646065144,0.20938155915638923,0.2461897558215397,0.24587475692945504
