runid,nc,nt,f0_sd,num_bins,ninf,ninf_cem,true_ATT,diff,csm_scm,csm_avg,cem_scm,cem_avg,onenn
16,500,100,0.5,6,0,1,2.9702280462313406,4.1037380173036295,3.1398478329517516,3.0953986845840724,3.22573786879779,3.2447276126665834,3.1454778822032736
17,500,100,0.5,6,0,11,3.0065713812754775,4.152003034654093,3.0404877821188716,3.0849961101679977,3.015480087359662,2.940747577856098,3.001051361760129
18,500,100,0.5,6,0,7,3.0060432771977617,3.897138755507576,2.7053925778441874,2.754046513706527,2.3835951214080477,2.6495605977287138,2.799237893982829
19,500,100,0.5,6,0,4,3.059930110662443,4.309193060657583,3.070559612915095,3.0908952909214875,3.2762465305796225,3.2417910057359434,3.0359060528508115
20,500,100,0.5,6,0,0,2.9763416124756232,3.9247723510219905,2.9797535253341474,3.019048894975078,2.9513378126854573,2.9444007500553164,3.0040753958388073
21,500,100,0.5,6,0,0,2.979659231985319,3.9302647084286813,2.86535650197997,2.8921944689590253,2.742543016214194,2.872443486270617,2.870322818618745
22,500,100,0.5,6,0,17,3.0001442640887537,4.086172882895026,2.9246786121843167,2.9689777456767947,2.6103152785607318,2.6398904617095322,2.884466401324386
23,500,100,0.5,6,0,3,2.9677767331888334,4.136542871787203,3.0700778937912467,3.1011503069999,3.138763693177377,3.055249676165447,3.0248105448294638
24,500,100,0.5,6,0,1,3.076162754255306,4.241698562869275,3.037162062863988,3.0549889222887323,3.2988034440742977,3.2421251633231973,3.037690810725082
25,500,100,0.5,6,0,7,3.006842330753875,4.020455946841651,3.0034417041946346,3.0526577891627698,3.0045177982820537,2.8876151219408417,3.0062637112149666
26,500,100,0.5,6,0,0,3.0111746298528854,4.036912995694089,3.055008392624557,3.047554766944648,2.953182429271454,2.9782980022134034,3.1014150006711194
27,500,100,0.5,6,0,0,3.078186211812626,4.104599428529362,3.044378727737043,3.0869935712906855,3.0027203904468465,3.1480975026179916,2.9493038520414965
28,500,100,0.5,6,0,0,3.0026562873539984,4.0315175729710955,2.8958134836552727,2.9315575514601164,2.9481556117721617,2.9869810751128165,2.925169377203516
29,500,100,0.5,6,0,0,3.021258224142938,4.114691985321258,2.9485070273146263,2.944445947833332,3.185360051234391,3.0403644068344375,2.9549657291676894
30,500,100,0.5,6,0,0,2.973444010535106,4.045084948503136,2.9867667318842166,2.9859831160152064,3.3829858881063357,3.0803908979392087,2.9376082274017934
31,500,100,0.5,6,0,9,2.994599068480472,3.948053967207209,2.7977926331475578,2.842089153983184,2.8489563145676433,2.8143313448261233,2.833163069707596
32,500,100,0.5,6,0,11,3.082770716239668,4.0677469548831375,2.9866145437172857,3.002560685882445,3.376115438550964,3.240875689144006,2.9130973359408605
33,500,100,0.5,6,0,1,2.9828912540329493,4.1038959794589935,3.164462500471787,3.186223677175226,3.1562907039404617,3.333250251012042,3.158311970258578
34,500,100,0.5,6,0,0,3.018750672148122,4.093897394785891,3.1251565490927913,3.1187189243205244,3.2448439323270923,3.121018301468119,3.1257727483575604
35,500,100,0.5,6,0,0,3.0083808374852175,4.095089171422057,3.0973978179240715,3.122795173595568,3.1188950567187925,3.204218353845448,3.126085303486798
36,500,100,0.5,6,0,11,2.961746419617659,3.9941416653370827,2.9634647163657455,2.9222804247832386,3.0195383038387513,2.8785450752998196,2.9310305185405943
37,500,100,0.5,6,0,0,2.9761323274262,4.029418599498552,2.737571380258668,2.8309226901589977,2.968740002126804,2.917838313558587,2.749069028723489
38,500,100,0.5,6,0,0,2.991058112926269,4.061431242515102,2.9354878954535195,2.9988769222812746,3.070450288297634,3.060249248239365,2.9537290603496134
39,500,100,0.5,6,0,0,3.031070338776378,3.9986436849878713,3.0282756579390053,3.0476895275052724,3.142396551800414,3.073673036644572,2.983943639209122
40,500,100,0.5,6,0,0,3.048632123672148,4.076323553012909,3.110002865992989,3.021673897906367,2.773293439745192,3.0066449720654767,3.1014950096969223
